Sample,K,Runtime(s)
Patient07_SIGAB4_BSCJ,11,0.2195
Patient07_SIGAB4_BSCJ,12,0.2609
Patient07_SIGAB4_BSCJ,13,0.2291
Patient07_SIGAB4_BSCJ,14,0.2211
Patient07_SIGAB4_BSCJ,15,0.2195
Patient07_SIGAB4_BSCJ,16,0.2491
Patient07_SIGAB4_BSCJ,17,0.2404
Patient07_SIGAB4_BSCJ,18,0.2247
Patient07_SIGAB4_BSCJ,19,0.2523
Patient07_SIGAB4_BSCJ,20,0.2507
SRR8513795,3,1.1767
SRR8513795,4,1.2095
SRR8513795,5,1.1982
SRR8513795,6,1.1933
SRR8513795,7,1.2225
SRR8513795,8,1.2165
SRR8513795,9,1.2141
SRR8513795,10,1.2256
SRR8513795,11,1.2448
SRR8513795,12,1.2412
SRR8513795,13,1.2355
SRR8513795,14,1.2443
SRR8513795,15,1.2459
SRR8513795,16,1.2329
SRR8513795,17,1.2632
SRR8513795,18,1.2486
SRR8513795,19,1.2653
SRR8513795,20,1.2556
Patient17_SIGAG7_CIM,3,0.2199
Patient17_SIGAG7_CIM,4,0.2227
Patient17_SIGAG7_CIM,5,0.2509
Patient17_SIGAG7_CIM,6,0.2796
Patient17_SIGAG7_CIM,7,0.2670
Patient17_SIGAG7_CIM,8,0.2912
Patient17_SIGAG7_CIM,9,0.2325
Patient17_SIGAG7_CIM,10,0.2542
Patient17_SIGAG7_CIM,11,0.2358
Patient17_SIGAG7_CIM,12,0.2729
Patient17_SIGAG7_CIM,13,0.2269
Patient17_SIGAG7_CIM,14,0.2246
Patient17_SIGAG7_CIM,15,0.2224
Patient17_SIGAG7_CIM,16,0.2520
Patient17_SIGAG7_CIM,17,0.2382
Patient17_SIGAG7_CIM,18,0.2468
Patient17_SIGAG7_CIM,19,0.2253
Patient17_SIGAG7_CIM,20,0.2352
Patient01_SIGAF2_NSCJ,3,0.2917
Patient01_SIGAF2_NSCJ,4,0.2783
Patient01_SIGAF2_NSCJ,5,0.2554
Patient01_SIGAF2_NSCJ,6,0.2325
Patient01_SIGAF2_NSCJ,7,0.2260
Patient01_SIGAF2_NSCJ,8,0.2530
Patient01_SIGAF2_NSCJ,9,0.2526
Patient01_SIGAF2_NSCJ,10,0.2349
Patient01_SIGAF2_NSCJ,11,0.2276
Patient01_SIGAF2_NSCJ,12,0.2310
Patient01_SIGAF2_NSCJ,13,0.2242
Patient01_SIGAF2_NSCJ,14,0.2709
Patient01_SIGAF2_NSCJ,15,0.2195
Patient01_SIGAF2_NSCJ,16,0.2692
Patient01_SIGAF2_NSCJ,17,0.2718
Patient01_SIGAF2_NSCJ,18,0.2563
Patient01_SIGAF2_NSCJ,19,0.2283
Patient01_SIGAF2_NSCJ,20,0.2180
P5846_normal,3,0.2869
P5846_normal,4,0.2218
P5846_normal,5,0.2205
P5846_normal,6,0.2414
P5846_normal,7,0.2361
P5846_normal,8,0.2210
P5846_normal,9,0.2342
P5846_normal,10,0.2191
P5846_normal,11,0.2224
P5846_normal,12,0.2196
P5846_normal,13,0.2172
P5846_normal,14,0.2199
P5846_normal,15,0.2176
P5846_normal,16,0.2249
P5846_normal,17,0.2285
P5846_normal,18,0.2197
P5846_normal,19,0.2213
P5846_normal,20,0.2214
Patient10_SIGAB5_NSCJ,3,0.2783
Patient10_SIGAB5_NSCJ,4,0.2744
Patient10_SIGAB5_NSCJ,5,0.2833
Patient10_SIGAB5_NSCJ,6,0.2232
Patient10_SIGAB5_NSCJ,7,0.2169
Patient10_SIGAB5_NSCJ,8,0.2184
Patient10_SIGAB5_NSCJ,9,0.2202
Patient10_SIGAB5_NSCJ,10,0.2221
Patient10_SIGAB5_NSCJ,11,0.2212
Patient10_SIGAB5_NSCJ,12,0.2247
Patient10_SIGAB5_NSCJ,13,0.2195
Patient10_SIGAB5_NSCJ,14,0.2220
Patient10_SIGAB5_NSCJ,15,0.2232
Patient10_SIGAB5_NSCJ,16,0.2306
Patient10_SIGAB5_NSCJ,17,0.2298
Patient10_SIGAB5_NSCJ,18,0.2193
Patient10_SIGAB5_NSCJ,19,0.2209
Patient10_SIGAB5_NSCJ,20,0.2252
Patient20_SIGAC3_GM,3,0.2294
Patient20_SIGAC3_GM,4,0.2298
Patient20_SIGAC3_GM,5,0.2284
Patient20_SIGAC3_GM,6,0.2327
Patient20_SIGAC3_GM,7,0.2309
Patient20_SIGAC3_GM,8,0.2335
Patient20_SIGAC3_GM,9,0.2356
Patient20_SIGAC3_GM,10,0.2373
Patient20_SIGAC3_GM,11,0.2344
Patient20_SIGAC3_GM,12,0.2797
Patient20_SIGAC3_GM,13,0.2350
Patient20_SIGAC3_GM,14,0.2876
Patient20_SIGAC3_GM,15,0.2524
Patient20_SIGAC3_GM,16,0.2505
Patient20_SIGAC3_GM,17,0.2466
Patient20_SIGAC3_GM,18,0.2717
Patient20_SIGAC3_GM,19,0.2950
